region,month,ndvi_anomaly,rainfall_anomaly,food_price_inflation,temp_anomaly,risk_label
Isiolo,2024/02,0.3,-0.4,0.05,0.04,2
Isiolo,2024/03,0.04,0.52,0.05,0.01,1
Isiolo,2024/04,0.24,0.05,0.03,0.07,1
Isiolo,2024/05,-0.36,-0.22,0.07,0.05,2
Isiolo,2024/06,0.41,-0.04,0.09,0.18,1
Isiolo,2024/07,-0.49,0.26,0.03,0.38,2
Isiolo,2024/08,-0.35,0.01,0.01,0.4,2
Isiolo,2024/09,0,0.2,0.01,0.25,2
Isiolo,2024/10,-0.29,0.5,0.03,-0.09,1
Isiolo,2024/11,-0.46,0.07,0.08,-0.16,2
Isiolo,2024/12,0.28,0.05,0.08,0.06,1
Kajiado,2023/01,-0.1,0.16,0.02,-0.09,1
Kajiado,2023/02,0.36,0.55,0.06,-0.04,0
Kajiado,2023/03,0.14,0.01,0,-0.11,1
Kajiado,2023/04,0.22,0.26,0,-0.07,0
Kajiado,2023/05,-0.27,0.27,0,-0.14,1
Kajiado,2023/06,0.3,-0.22,0.1,-0.06,1
Kajiado,2023/07,-0.4,-0.16,0.11,0.31,2
Kajiado,2023/08,0.33,0,0.1,-0.08,1
Kajiado,2023/09,-0.21,0.5,0,-0.15,1
Kajiado,2023/10,-0.29,-0.37,0.03,0.15,2
Kajiado,2023/11,-0.08,0.49,0.12,0.01,1
Kajiado,2023/12,-0.24,-0.02,0.09,-0.04,2
Kajiado,2024/01,0.12,0.01,0.08,0.06,2
Kajiado,2024/02,-0.21,0.55,0.11,-0.12,1
Kajiado,2024/03,0.37,0.09,0.13,0.28,1
Kajiado,2024/04,-0.07,-0.38,0.04,0.12,2
Kajiado,2024/05,0.13,-0.14,0.02,0.3,2
Kajiado,2024/06,0.48,0.13,0.03,-0.04,0
Kajiado,2024/07,-0.48,0.51,0.02,0.15,2
Kajiado,2024/08,-0.23,0.15,0.1,0.3,2
Kajiado,2024/09,-0.29,-0.39,0.02,0.34,2
Kajiado,2024/10,0.37,0.2,0.09,0.2,1
Kajiado,2024/11,-0.32,0.51,0.06,0.03,1
Kajiado,2024/12,0.02,-0.35,0.02,0.24,2
Kakamega,2023/01,-0.42,0.2,0.04,0.03,2
Kakamega,2023/02,-0.21,-0.04,0.11,-0.02,2
Kakamega,2023/03,0.07,0.08,0.1,0.36,2
Kakamega,2023/04,0.23,-0.19,0,-0.04,1
Kakamega,2023/05,0.1,-0.35,0.07,0.16,2
Kakamega,2023/06,-0.17,0.37,0.02,-0.15,1
Kakamega,2023/07,0.23,0.1,0.1,0.06,1
Kakamega,2023/08,-0.25,0.42,0.12,0.22,2
Kakamega,2023/09,-0.23,0.19,0.05,-0.15,1
Kakamega,2023/10,0.42,-0.26,0.14,0.07,2
Kakamega,2023/11,-0.31,0.14,0.13,0.24,2
Kakamega,2023/12,0.31,0.26,0.1,0.31,1
Kakamega,2024/01,-0.25,0.09,0.03,0.39,2
Kakamega,2024/02,0.44,-0.36,0.11,0.36,2
Kakamega,2024/03,-0.32,0.17,0.14,-0.18,2
Kakamega,2024/04,0.2,-0.1,0.14,0.38,2
Kakamega,2024/05,0.44,0.07,0.13,0.31,1
Kakamega,2024/06,-0.18,0.43,0.01,0.16,1
Kakamega,2024/07,-0.27,-0.28,0.01,0.22,2
Kakamega,2024/08,-0.16,0.32,0.01,-0.01,1
Kakamega,2024/09,0.04,0.39,0.05,0.18,1
Kakamega,2024/10,0.39,0.22,0.03,-0.19,0
Kakamega,2024/11,0.37,-0.38,0.13,0.12,2
Kakamega,2024/12,0.44,0.4,0.15,0.01,0
Kericho,2023/01,0.27,0,0.07,0.18,1
Kericho,2023/02,0.37,0.58,0.12,0.05,0
Kericho,2023/03,-0.08,0.34,0.04,-0.13,1
Kericho,2023/04,-0.15,-0.11,0.04,-0.06,2
Kericho,2023/05,-0.46,-0.38,0.15,0.06,2
Kericho,2023/06,-0.12,0.28,0.03,0.37,2
Kericho,2023/07,0.29,-0.31,0.06,0.33,2
Kericho,2023/08,0.44,0.07,0.09,-0.1,0
Kericho,2023/09,0.49,-0.17,0.14,0.19,2
Kericho,2023/10,0.11,0.11,0.03,-0.09,1
Kericho,2023/11,-0.28,-0.21,0.12,0.01,2
Kericho,2023/12,-0.44,0.57,0.13,0.36,2
Kericho,2024/01,0.49,-0.23,0.06,0.25,2
Kericho,2024/02,0.2,-0.25,0.12,-0.07,2
Kericho,2024/03,-0.28,0.14,0.09,0.15,2
Kericho,2024/04,-0.41,0.48,0.04,-0.12,1
Kericho,2024/05,0.39,0.56,0.13,0.29,0
Kericho,2024/06,0.16,0.15,0.01,0.05,1
Kericho,2024/07,-0.13,-0.14,0.11,0.1,2
Kericho,2024/08,-0.42,-0.18,0.1,-0.15,2
Kericho,2024/09,0.35,0.1,0.07,0.16,1
Kericho,2024/10,0.32,-0.05,0.1,0.14,1
Kericho,2024/11,-0.23,0.48,0.12,0.2,2
Kericho,2024/12,0.35,0.47,0.11,0.3,1
Kiambu,2023/01,0.2,0.28,0.09,0.25,1
Kiambu,2023/02,-0.34,0.48,0.13,-0.18,1
Kiambu,2023/03,0.33,-0.27,0.05,0.25,2
Kiambu,2023/04,-0.34,0.42,0.12,0.1,2
Kiambu,2023/05,-0.49,-0.11,0.09,0.39,2
Kiambu,2023/06,0.13,-0.14,0.1,0.12,2
Kiambu,2023/07,0.28,-0.29,0.11,0.12,2
Kiambu,2023/08,0.46,-0.06,0.09,0.36,2
Kiambu,2023/09,-0.4,0.54,0.1,-0.16,1
Kiambu,2023/10,-0.2,0.31,0.01,0.15,2
Kiambu,2023/11,-0.15,0.22,0.01,0.32,2
Kiambu,2023/12,0.47,0.57,0.11,-0.12,0
Kiambu,2024/01,0.26,-0.38,0,-0.01,2
Kiambu,2024/02,-0.01,0.37,0.1,0.07,1
Kiambu,2024/03,-0.23,0.6,0.06,0.07,1
Kiambu,2024/04,-0.34,0.39,0.1,-0.07,1
Kiambu,2024/05,-0.42,0.28,0.1,-0.04,2
Kiambu,2024/06,0.45,-0.25,0.06,0.37,2
Kiambu,2024/07,-0.08,0.24,0.06,-0.04,1
Kiambu,2024/08,0.48,0.01,0.13,-0.06,1
Kiambu,2024/09,-0.29,-0.37,0.1,0.02,2
Kiambu,2024/10,0.36,0.07,0.15,-0.09,1
Kiambu,2024/11,0.37,0.38,0.12,0.31,1
Kiambu,2024/12,0.26,0.23,0.02,-0.18,0
Kilifi,2023/01,0.42,0.22,0.12,0.09,1
Kilifi,2023/02,-0.38,-0.27,0.1,0.06,2
Kilifi,2023/03,-0.3,0.09,0.01,0.15,2
Kilifi,2023/04,-0.23,0.4,0.05,0.07,1
Kilifi,2023/05,-0.49,-0.33,0.06,0.09,2
Kilifi,2023/06,0.1,-0.11,0.1,0.32,2
Kilifi,2023/07,0.28,-0.36,0.07,-0.14,2
Kilifi,2023/08,-0.26,0.59,0.02,0.1,1
Kilifi,2023/09,0.12,0.3,0.08,-0.19,0
Kilifi,2023/10,-0.17,0.12,0.01,0.01,2
Kilifi,2023/11,-0.47,-0.32,0.06,-0.12,2
Kilifi,2023/12,0.07,0.29,0.12,-0.08,1
Kilifi,2024/01,-0.33,-0.3,0.1,0.22,2
Kilifi,2024/02,-0.47,0.54,0.01,0.12,2
Kilifi,2024/03,0.21,0.47,0.11,0.28,1
Kilifi,2024/04,-0.16,0.41,0.01,0.34,2
Kilifi,2024/05,0.05,0.42,0.07,0.19,1
Kilifi,2024/06,0.03,0.33,0.01,-0.16,0
Kilifi,2024/07,-0.25,-0.24,0.13,-0.07,2
Kilifi,2024/08,0.48,-0.06,0.03,0.27,1
Kilifi,2024/09,0.16,0.1,0.08,0.23,2
Kilifi,2024/10,-0.27,0.6,0.15,0.19,2
Kilifi,2024/11,-0.3,0.28,0.01,-0.18,1
Kilifi,2024/12,-0.24,0.06,0.13,0.24,2
Kirinyaga,2023/01,0.24,0.03,0.05,0.02,1
Kirinyaga,2023/02,0.49,-0.36,0.13,0.15,2
Kirinyaga,2023/03,-0.06,0.33,0.07,0.32,2
Kirinyaga,2023/04,0.4,0.02,0.04,0.16,1
Kirinyaga,2023/05,0.41,-0.19,0.09,0.18,2
Kirinyaga,2023/06,0.23,-0.27,0.11,0.35,2
Kirinyaga,2023/07,-0.32,-0.16,0.15,-0.09,2
Kirinyaga,2023/08,0.35,0.09,0.04,0.32,1
Kirinyaga,2023/09,-0.05,0.11,0.05,0.16,2
Kirinyaga,2023/10,-0.34,-0.01,0.15,-0.05,2
Kirinyaga,2023/11,0.16,-0.07,0.12,-0.12,1
Kirinyaga,2023/12,0.47,0.05,0.04,-0.16,0
Kirinyaga,2024/01,-0.33,0.12,0.05,0.3,2
Kirinyaga,2024/02,-0.07,-0.15,0.09,0.22,2
Kirinyaga,2024/03,-0.33,-0.23,0.01,0.24,2
Kirinyaga,2024/04,0.16,0.07,0.13,0.28,2
Kirinyaga,2024/05,0.09,0.47,0.03,-0.13,0
Kirinyaga,2024/06,-0.23,-0.34,0.08,0.36,2
Kirinyaga,2024/07,-0.46,-0.28,0.07,0.36,2
Kirinyaga,2024/08,-0.18,0.11,0.01,-0.11,1
Kirinyaga,2024/09,0.49,0.57,0,0.37,0
Kirinyaga,2024/10,0.14,0.47,0.07,0.11,1
Kirinyaga,2024/11,-0.01,0.27,0.02,-0.18,1
Kirinyaga,2024/12,-0.19,0.3,0.03,0.2,2
Kisii,2023/01,0.47,-0.31,0.1,0.07,2
Kisii,2023/02,0.37,-0.22,0.1,0.3,2
Kisii,2023/03,0.44,0.28,0.07,0.17,1
Kisii,2023/04,0.37,0.17,0,0.36,1
Kisii,2023/05,0.19,0.28,0.03,0.2,1
Kisii,2023/06,-0.11,0.25,0.02,0.19,2
Kisii,2023/07,0.5,-0.35,0.15,0.04,2
Kisii,2023/08,0.37,0.38,0.09,0.24,1
Kisii,2023/09,0.38,0,0.05,0.2,1
Kisii,2023/10,0.31,0.36,0.12,0.06,1
Kisii,2023/11,0.32,-0.28,0.08,-0.2,1
Kisii,2023/12,-0.18,-0.03,0.06,0.22,2
Kisii,2024/01,-0.11,0.05,0.04,0.02,2
Kisii,2024/02,-0.27,-0.33,0.09,0.2,2
Kisii,2024/03,0.12,0.06,0.06,0.32,2
Kisii,2024/04,0.02,0.08,0,0,1
Kisii,2024/05,-0.12,0,0.09,0.12,2
Kisii,2024/06,0.11,0.36,0.12,0.23,1
Kisii,2024/07,0.46,-0.38,0.03,-0.2,1
Kisii,2024/08,0.15,0.5,0.04,0.36,1
Kisii,2024/09,-0.44,0.53,0.05,-0.14,1
Kisii,2024/10,-0.01,-0.14,0.04,-0.02,2
Kisii,2024/11,0.3,0.14,0.05,0.17,1
Kisii,2024/12,0.22,-0.13,0.06,-0.13,1
Kisumu,2023/01,-0.32,0.28,0.03,0.12,2
Kisumu,2023/02,0.21,-0.29,0.09,-0.05,2
Kisumu,2023/03,0.46,0.08,0.12,0.13,1
Kisumu,2023/04,-0.46,0.23,0.14,0.16,2
Kisumu,2023/05,0.32,0.48,0.03,-0.07,0
Kisumu,2023/06,0.11,0.01,0.13,0.34,2
Kisumu,2023/07,-0.15,-0.16,0.12,-0.04,2
Kisumu,2023/08,0.32,0.02,0.1,-0.14,1
Kisumu,2023/09,0.12,0.05,0.09,-0.1,1
Kisumu,2023/10,0.24,0.46,0.03,-0.14,0
Kisumu,2023/11,-0.48,0.24,0.09,0.13,2
Kisumu,2023/12,-0.27,-0.01,0.09,0.1,2
Kisumu,2024/01,0.49,-0.26,0.1,0.04,1
Kisumu,2024/02,-0.07,0.32,0.1,0.39,2
Kisumu,2024/03,-0.37,-0.3,0.11,0.15,2
Kisumu,2024/04,-0.23,-0.32,0.01,0.34,2
Kisumu,2024/05,-0.31,-0.08,0.03,0.01,2
Kisumu,2024/06,-0.43,0.12,0.01,0.28,2
Kisumu,2024/07,-0.27,0.14,0.13,0.19,2
Kisumu,2024/08,0.03,-0.08,0.05,0.2,2
Kisumu,2024/09,0.49,0.26,0.08,0.24,1
Kisumu,2024/10,-0.03,-0.34,0.08,0.37,2
Kisumu,2024/11,-0.32,0.29,0.03,0.12,2
Kisumu,2024/12,-0.4,0.05,0.11,0.01,2
Kitui,2023/01,0.16,0.4,0.14,-0.06,1
Kitui,2023/02,-0.1,-0.25,0.15,0.36,2
Kitui,2023/03,0.04,0.44,0.08,0.17,1
Kitui,2023/04,-0.41,0.36,0.02,0.3,2
Kitui,2023/05,0.28,0.31,0.01,-0.02,0
Kitui,2023/06,-0.24,-0.04,0.01,0.36,2
Kitui,2023/07,0.05,-0.09,0.06,0.07,2
Kitui,2023/08,0.1,0.12,0.14,0.1,2
Kitui,2023/09,0.49,0.45,0.03,0.36,0
Kitui,2023/10,-0.38,0.42,0.06,0.33,2
Kitui,2023/11,0.37,0.41,0.12,-0.02,0
Kitui,2023/12,-0.42,0,0.03,0.22,2
Kitui,2024/01,-0.15,0.58,0.1,0.29,1
Kitui,2024/02,-0.37,0.46,0.14,0.09,2
Kitui,2024/03,0.11,0.36,0.03,0.1,1
Kitui,2024/04,-0.1,-0.25,0.06,-0.16,2
Kitui,2024/05,-0.47,-0.26,0.14,0.13,2
Kitui,2024/06,0.47,0.03,0.05,0.1,1
Kitui,2024/07,-0.06,-0.29,0.1,-0.07,2
Kitui,2024/08,0.12,0.25,0.02,-0.16,0
Kitui,2024/09,0.28,0.06,0.01,0.4,2
Kitui,2024/10,-0.44,0.3,0.15,-0.06,2
Kitui,2024/11,-0.36,-0.28,0.05,-0.14,2
Kitui,2024/12,0.19,-0.34,0.08,0.4,2
Kwale,2023/01,0.31,0.22,0.05,0.17,1
Kwale,2023/02,0.03,0.03,0.02,0.33,2
Kwale,2023/03,-0.05,-0.21,0.06,0.05,2
Kwale,2023/04,0.33,0.33,0.12,-0.19,0
Kwale,2023/05,-0.08,0.08,0,-0.04,1
Kwale,2023/06,0.26,-0.26,0.08,-0.07,2
Kwale,2023/07,-0.49,-0.16,0.15,0.28,2
Kwale,2023/08,0.46,0.09,0.02,0.13,1
Kwale,2023/09,-0.05,0.44,0.01,0.09,1
Kwale,2023/10,-0.35,-0.08,0.11,0.09,2
Kwale,2023/11,-0.12,-0.01,0.07,0.27,2
Kwale,2023/12,0.39,0.56,0.12,-0.01,0
Kwale,2024/01,0.19,0.04,0.04,0.3,2
Kwale,2024/02,-0.46,0.5,0.07,0.18,2
Kwale,2024/03,0.16,0.5,0.1,0.17,1
Kwale,2024/04,-0.43,0.12,0.02,0.24,2
Kwale,2024/05,0.01,0.28,0.01,-0.15,1
Kwale,2024/06,0.22,-0.33,0.01,-0.19,1
Kwale,2024/07,0.46,0.34,0.05,-0.02,0
Kwale,2024/08,-0.15,0.37,0.1,-0.09,1
Kwale,2024/09,-0.33,-0.3,0.1,0.26,2
Kwale,2024/10,-0.23,-0.38,0.01,0.38,2
Kwale,2024/11,-0.2,0.37,0.09,0.03,1
Kwale,2024/12,-0.29,-0.28,0.09,0.26,2
Laikipia,2023/01,0.14,0.13,0.01,0.38,2
Laikipia,2023/02,0.3,-0.11,0.15,0.16,2
Laikipia,2023/03,0.08,0.35,0.12,0.19,1
Laikipia,2023/04,-0.37,-0.06,0.14,-0.07,2
Laikipia,2023/05,-0.13,0.03,0.07,0.17,2
Laikipia,2023/06,0.44,-0.16,0.02,-0.08,1
Laikipia,2023/07,0.39,0.25,0.04,0.29,1
